strain	country	date
hRSV/A/USA/WA-BBI-S23768/2022|EPI_ISL_18387943|2022-12-06	USA	2022-12-06
hRSV/A/Ecuador/GSB-0219-70/2024|EPI_ISL_19005009|2024-02-02	Ecuador	2024-02-02
hRSV/A/Peru/LIM-UPCH-4347/2024|EPI_ISL_19173807|2024-04-01	Peru	2024-04-01
hRSV/A/Brazil/SP-IAL-357745917/2024|EPI_ISL_19232709|2024-05-11	Brazil	2024-05-11
hRSV/A/Ecuador/GSB-0219-74/2024|EPI_ISL_19005010|2024-02-21	Ecuador	2024-02-21
hRSV/A/Ecuador/GSB-1811-6899/2024|EPI_ISL_19005015|2024-02-23	Ecuador	2024-02-23
hRSV/A/Ecuador/GSB-1811-6902/2024|EPI_ISL_19005016|2024-02-27	Ecuador	2024-02-27
hRSV/A/Chile/ML-53738/2024|EPI_ISL_19360736|2024-07-06	Chile	2024-07-06
hRSV/A/Chile/MA-54962/2024|EPI_ISL_19360741|2024-07-09	Chile	2024-07-09
hRSV/A/Chile/LI-56116/2024|EPI_ISL_19360742|2024-07-15	Chile	2024-07-15
hRSV/A/Chile/RM-57086/2024|EPI_ISL_19360743|2024-07-19	Chile	2024-07-19
hRSV/A/Chile/LR-49002/2024|EPI_ISL_19360748|2024-06-19	Chile	2024-06-19
hRSV/A/Ecuador/GSB-0219-68/2024|EPI_ISL_18939834|2024-01-30	Ecuador	2024-01-30
hRSV/A/Brazil/AP-IEC-002428/2024|EPI_ISL_18970841|2024-01-11	Brazil	2024-01-11
hRSV/A/Peru/LIM-UPCH-4518/2024|EPI_ISL_19231446|2024-05-07	Peru	2024-05-07
hRSV/A/Peru/LIM-UPCH-4519/2024|EPI_ISL_19231447|2024-05-06	Peru	2024-05-06
hRSV/A/Peru/LIM-UPCH-4520/2024|EPI_ISL_19231448|2024-05-20	Peru	2024-05-20
hRSV/A/Peru/LIM-UPCH-4521/2024|EPI_ISL_19231449|2024-04-29	Peru	2024-04-29
hRSV/A/Brazil/SP-IAL-357514147/2024|EPI_ISL_19232652|2024-02-22	Brazil	2024-02-22
hRSV/A/Brazil/SP-IAL-357583784/2024|EPI_ISL_19232680|2024-03-13	Brazil	2024-03-13
hRSV/A/Brazil/SP-IAL-357655629/2024|EPI_ISL_19232697|2024-04-09	Brazil	2024-04-09
hRSV/A/Argentina/INEI-130/2024|EPI_ISL_19345183|2024-05-15	Argentina	2024-05-15
hRSV/A/Brazil/un-UMC-550102151/2019|EPI_ISL_19049198|2019-06-24	Brazil	2019-06-24
hRSV/A/Brazil/un-UMC-550102116/2019|EPI_ISL_19048788|2019-06-04	Brazil	2019-06-04
hRSV/A/Argentina/BA-HNRG-433/2019|EPI_ISL_15067681|2019-06-06	Argentina	2019-06-06
hRSV/A/Argentina/BA-HNRG-435/2019|EPI_ISL_15067682|2019-06-11	Argentina	2019-06-11
hRSV/A/Argentina/BA-HNRG-440/2019|EPI_ISL_15067686|2019-07-29	Argentina	2019-07-29
hRSV/A/Brazil/un-UMC-550102131/2019|EPI_ISL_19048503|2019-06-11	Brazil	2019-06-11
hRSV/A/Argentina/HNRG-437/2019|EPI_ISL_15055319|2019-06-19	Argentina	2019-06-19
hRSV/A/Argentina/HNRG-441/2019|EPI_ISL_15055322|2019-07-29	Argentina	2019-07-29
hRSV/A/Brazil/un-UMC-550102160/2019|EPI_ISL_19048376|2019-07-03	Brazil	2019-07-03
hRSV/A/Brazil/un-UMC-550102142/2019|EPI_ISL_19048409|2019-06-19	Brazil	2019-06-19
hRSV/A/Brazil/RS-FIOCRUZ-68528/2021|EPI_ISL_15894993|2021-05-27	Brazil	2021-05-27
hRSV/A/Argentina/BA-HNRG-442/2021|EPI_ISL_15067688|2021-05-05	Argentina	2021-05-05
hRSV/A/Argentina/BA-HNRG-452/2021|EPI_ISL_15067691|2021-08-03	Argentina	2021-08-03
hRSV/A/Argentina/HNRG-452/2021|EPI_ISL_15055326|2021-08-03	Argentina	2021-08-03
hRSV/A/Argentina/HNRG-453/2021|EPI_ISL_15055327|2021-08-09	Argentina	2021-08-09
hRSV/A/Brazil/RJ-FIOCRUZ-34518/2020|EPI_ISL_15895129|2020-10-04	Brazil	2020-10-04
hRSV/A/Brazil/RJ-FIOCRUZ-20530/2020|EPI_ISL_15895141|2020-10-22	Brazil	2020-10-22
hRSV/A/Brazil/RS-FIOCRUZ-68558/2021|EPI_ISL_15895007|2021-06-27	Brazil	2021-06-27
hRSV/A/Brazil/RS-FIOCRUZ-68569/2021|EPI_ISL_15895011|2021-07-07	Brazil	2021-07-07
hRSV/A/Brazil/RJ-FIOCRUZ-34997/2020|EPI_ISL_18999148|2020-06-13	Brazil	2020-06-13
hRSV/A/Brazil/RJ-FIOCRUZ-35004/2020|EPI_ISL_18999151|2020-11-10	Brazil	2020-11-10
hRSV/A/Brazil/RJ-FIOCRUZ-35011/2020|EPI_ISL_18999153|2020-12-21	Brazil	2020-12-21
hRSV/A/Brazil/RS-FIOCRUZ-68587/2021|EPI_ISL_15895018|2021-08-04	Brazil	2021-08-04
hRSV/A/Brazil/RS-FIOCRUZ-68649/2021|EPI_ISL_15895053|2021-11-22	Brazil	2021-11-22
hRSV/A/Peru/LIM-UPCH-3994/2023|EPI_ISL_18262238|2023-04-24	Peru	2023-04-24
hRSV/A/Peru/LIM-UPCH-4002/2023|EPI_ISL_18262240|2023-05-04	Peru	2023-05-04
hRSV/A/Brazil/RS-FIOCRUZ-7326/2023|EPI_ISL_18622382|2023-05-04	Brazil	2023-05-04
hRSV/A/Brazil/AL-FIOCRUZ-6109/2023|EPI_ISL_18622395|2023-06-04	Brazil	2023-06-04
hRSV/A/Brazil/AL-FIOCRUZ-7215/2023|EPI_ISL_18622396|2023-06-04	Brazil	2023-06-04
hRSV/A/Brazil/AP-IEC-013016/2023|EPI_ISL_17808730|2023-05-11	Brazil	2023-05-11
hRSV/A/Argentina/PAIS-ELZ-13/2022|EPI_ISL_17951000|2022-06-23	Argentina	2022-06-23
hRSV/A/Brazil/SP-FIOCRUZ-6843/2023|EPI_ISL_18622408|2023-06-14	Brazil	2023-06-14
hRSV/A/Ecuador/GSB-1820-2160/2023|EPI_ISL_18933589|2023-12-21	Ecuador	2023-12-21
hRSV/A/Argentina/PAIS-ELZ-14/2022|EPI_ISL_17951001|2022-06-23	Argentina	2022-06-23
hRSV/A/Argentina/PAIS-HNRG-458/2022|EPI_ISL_17951040|2022-06-15	Argentina	2022-06-15
hRSV/A/Argentina/PAIS-ELZ-1/2022|EPI_ISL_17950996|2022-05-30	Argentina	2022-05-30
hRSV/A/Argentina/PAIS-ELZ-10/2022|EPI_ISL_17950997|2022-06-14	Argentina	2022-06-14
hRSV/A/Peru/LIM-UPCH-4095/2023|EPI_ISL_18913021|2023-04-18	Peru	2023-04-18
hRSV/A/Peru/LIM-UPCH-4103/2023|EPI_ISL_18913024|2023-05-18	Peru	2023-05-18
hRSV/A/Brazil/PR-FIOCRUZ-10715/2022|EPI_ISL_15895102|2022-04-02	Brazil	2022-04-02
hRSV/A/Brazil/PR-FIOCRUZ-10724/2022|EPI_ISL_15895105|2022-04-05	Brazil	2022-04-05
hRSV/A/Brazil/PR-FIOCRUZ-10693/2022|EPI_ISL_15895136|2022-03-17	Brazil	2022-03-17
hRSV/A/Brazil/ES-FIOCRUZ-11434/2022|EPI_ISL_15895089|2022-04-22	Brazil	2022-04-22
hRSV/A/Brazil/ES-FIOCRUZ-11439/2022|EPI_ISL_15895092|2022-04-23	Brazil	2022-04-23
hRSV/A/Peru/LIM-UPCH-4517/2024|EPI_ISL_19231442|2024-05-13	Peru	2024-05-13
hRSV/A/Peru/LIM-UPCH-4547/2024|EPI_ISL_19427434|2024-05-06	Peru	2024-05-06
hRSV/A/Peru/LIM-UPCH-4548/2024|EPI_ISL_19427435|2024-05-13	Peru	2024-05-13
hRSV/A/Peru/LIM-UPCH-4550/2024|EPI_ISL_19427436|2024-05-24	Peru	2024-05-24
hRSV/A/Peru/LIM-UPCH-4551/2024|EPI_ISL_19427437|2024-05-24	Peru	2024-05-24
hRSV/A/Peru/LIM-UPCH-4552/2024|EPI_ISL_19427438|2024-06-06	Peru	2024-06-06
hRSV/A/Peru/LIM-UPCH-4553/2024|EPI_ISL_19427439|2024-06-10	Peru	2024-06-10
hRSV/A/Peru/LIM-UPCH-4554/2024|EPI_ISL_19427440|2024-06-11	Peru	2024-06-11
hRSV/A/Peru/LIM-UPCH-4557/2024|EPI_ISL_19427441|2024-06-18	Peru	2024-06-18
hRSV/A/Peru/LIM-UPCH-4558/2024|EPI_ISL_19427442|2024-06-18	Peru	2024-06-18
